Temporal ecc (mm),(Conesx1000) per mm2,,Nasal ecc (mm),(Conesx1000) per mm2,,,,,
1.011406844,20.94958812,,1.036755387,19.663477,,20.30653256,,1.036755387,20.30653256
2.025348542,12.49021782,,2,11.70973882,,12.09997832,,2,12.09997832
3.013941698,8.761275518,,2.988593156,9.12890214,,8.945088829,,2.988593156,8.945088829
,,,4.002534854,7.052999117,,,,,
4.965779468,7.136000314,,4.99112801,5.758040741,,6.447020528,,4.99112801,6.447020528
5.979721166,6.575596717,,5.979721166,5.060097291,,5.817847004,,5.979721166,5.817847004
6.942965779,6.428976789,,6.968314322,4.821396091,,5.62518644,,6.968314322,5.62518644
7.98225602,6.189809944,,7.98225602,4.490613618,,5.340211781,,7.98225602,5.340211781
8.970849176,5.859260294,,8.970849176,4.205988193,,5.032624244,,8.970849176,5.032624244
9.93409379,5.574867691,,9.959442332,3.921362768,,4.74811523,,9.959442332,4.74811523
10.99873257,5.289543799,,10.94803549,3.728585793,,4.509064796,,10.94803549,4.509064796
11.98732573,5.142691049,,11.96197719,3.58150022,,4.362095635,,11.96197719,4.362095635
12.97591888,4.995838299,,12.97591888,3.480338873,,4.238088586,,12.97591888,4.238088586
13.9391635,4.895142596,,13.96451204,3.379410348,,4.137276472,,13.96451204,4.137276472
14.9531052,4.793981249,,14.9531052,3.278481823,,4.036231536,,14.9531052,4.036231536
15.94169835,4.693052724,,15.91634981,3.131861896,,3.91245731,,15.91634981,3.91245731
16.95564005,4.729664052,,16.90494297,3.076857596,,3.903260824,,16.90494297,3.903260824
17.94423321,4.674659752,,17.94423321,3.342857226,,4.008758489,,17.94423321,4.008758489
18.93282636,4.849276577,,,,,,,,
19.94676806,5.20735748,,,,,,,,
20.93536122,4.87680783,,,,,,,,
21.92395437,5.143273105,,,,,,,,
